0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/resources/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:42 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:43 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/resources/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:15 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:17 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:18 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:20 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:43 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:43 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:43 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:43 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:43 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:43 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:43 +0100] "GET /GestionS/resources/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:44 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:47 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:48 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:50 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:57:54 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/resources/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:47 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:51 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:52 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:54 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:59:56 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 99
